Query,Tab Complete,Regex Matches,Exact and Fuzzy Matches,Total Matches,Combined Search Time (ms),Merging Time (ms),Total Runtime (ms),,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15
Th Sxth Sene,,0,15,15,113.181534,0.023802,113.26881,,The Sixth Sense,Scenes from the Class Struggle in Beverly Hills,The Sensation of Sight,Tabu: A Story of the South Seas,The Barretts of Wimpole Street,Snow White and the Seven Dwarfs,The Seventh Victim,The House on 92nd Street,The Seventh Veil,Song of the South,The Street with No Name,Scene of the Crime,The Set-Up,Panic in the Streets,Seven Days to Noon
Th Usul Suspects,,0,15,15,108.6183,0.013909,108.698519,,The Usual Suspects,Prime Suspect: The Lost Child,Prime Suspect 6: The Last Witness,Prime Suspect 7: The Final Act,The Suspect,The Suspect,The Suspect,Prime Suspect: Inner Circles,Prime Suspect 5: Errors of Judgement,Suspect X,Prime Suspect 2,Prime Suspect 3,Suspect,Prime Suspect,Give Us This Day
The Gdfathr: Part II,,0,15,15,116.285558,0.035108,116.370284,,The Godfather: Part II,The Hangover Part II,"The Karate Kid, Part II",The Toxic Avenger Part II,The Last Exorcism Part II,Back to the Future Part II,Hostel: Part II,Gasland Part II,"That's Entertainment, Part II",Father of the Bride Part II,Rambo: First Blood Part II,The Godfather: Part III,The Hangover Part III,Back to the Future Part III,Friday the 13th Part III
Svng Prvate Ryn,,0,15,15,148.996858,0.053668,149.102164,,Ryna,Saving Private Ryan,A Song to Remember,Singin' in the Rain,Torch Song Trilogy,Ayn Rand: A Sense of Life,Ayn Rand: A Sense of Life,Edogawa Ranpo ryèki-kan: Yaneura no sanposha,Song for a Raggy Boy,Rules of Single Life,Private Romeo,Singham Returns,"Bianca come il latte, rossa come il sangue",The Song of Night,The Private Life of Henry VIII.
Bck t the Futre,,0,15,15,106.883237,0.013608,106.952102,,The Tall T,(T)ERROR,T-Rex: Back to the Cretaceous,Dr. T and the Women,Dr. T and the Women,Back to the Future,Back to the Future Part II,Back to the Future Part III,Futurama: The Beast with a Billion Backs,The Man from the Future,The Backwoods,The Backwoods,The Baker,The Future,"Yor, the Hunter from the Future"
Th Trman Shw,,0,15,15,172.930971,0.016592,173.018529,,Shwaas,The Truman Show,The Taming of the Shrew,The Transformers: The Movie,Lady and the Tramp II: Scamp's Adventure,The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants 2,Thanks for Sharing,The Son of the Sheik,The Prisoner of Shark Island,The Trail of the Lonesome Pine,To New Shores,The Adventures of Tom Sawyer,The Shop Around the Corner,The White Ship
Th Scl Ntwrk,,0,15,15,97.544104,0.014711,97.637912,,Scene of the Crime,Salt of the Earth,The Unknown Soldier,The Silent World,The Solid Gold Cadillac,The Horse Soldiers,The Rest Is Silence,The Angry Silence,The Silence,The Silencers,The Scalphunters,The House That Screamed,The School Girls,The Salamander,Scipio the African
The Mtrx,,0,15,15,98.126733,0.031421,98.220764,,The More the Merrier,The Princess & the Marine,The Boy in the Mirror,The Mark,The Mirror,The Mirror,The Marsh,The Miracle,The Friends at the Margherita Cafe,The Friends at the Margherita Cafe,From the Life of the Marionettes,The Marrying Kind,The Miracle Worker,The Miracle Worker,The Mirror Crack'd
Jrasik Park,,0,15,15,90.557418,0.023127,90.633048,,Gorky Park,Jurassic Park,Dog Park,Mansfield Park,Gosford Park,Wicker Park,Paranoid Park,Mansfield Park,Blowfly Park,Pervert Park,Jurassic Park III,Jurassic Park III,Trailer Park Jesus,Broken Glass Park,The Park Is Mine
Titanic,Titanica,4,8,12,96.780894,0.039471,96.894085,,Titanica,Titanic,Titanic,Titanic Town,Raise the Titanic,The Ten Lives of Titanic the Cat,The Chambermaid on the Titanic,Clash of the Titans,Titan A.E.,Remember the Titans,Clash of the Titans,Wrath of the Titans,,,
